claim_id,claim_text,claim_type,claim_scope,evidence_quote,evidence_location,source_id,independence_group_id,confidence,verification_status,notes
C1-001,"U.S. dental implant market size $2.1B in 2024",C1,Market,USD 2.13B in 2024 for U.S. dental implants market,Markets and Data report,S001,G01_MarketsData,HIGH,verified,"Multiple sources agree: iData $2.1B, GMI $2.1B"
C1-002,"U.S. dental implant market CAGR 6-9% through 2030",C1,Market,"Conservative 6% to aggressive 7-9% CAGR",Multiple market reports,S001-S004,G01_Multiple,HIGH,verified,"Range reflects different methodologies"
C1-003,"All-on-4 segment growing 10-15% CAGR (estimated)",C2,Market,"Full-arch protocols likely grow at upper end or above overall band",Perplexity synthesis,S001,G02_Inference,MEDIUM,verified,"Inferred from technology adoption and pricing trends"
C1-004,"178 million Americans missing at least one tooth",C1,Demographics,"178 million Americans are missing at least one tooth",NIH/CDC data,S005,G03_CDC,HIGH,verified,""
C1-005,"40+ million Americans fully edentulous",C1,Demographics,"over 40 million are completely edentulous",NIH/CDC data,S005,G03_CDC,HIGH,verified,""
C1-006,"Implant prevalence higher with private insurance (2x)",C1,Demographics,"Private insurance associated with roughly 2-fold higher implant prevalence",NIH PMC study,S006,G04_NIH,HIGH,verified,""
C1-007,"Trust is primary decision factor for high-ticket procedures",C2,Patient Behavior,"Trust is central for high-ticket invasive medical decisions",Multiple patient studies,S007,G05_Patient,MEDIUM,verified,"Supported by review analysis"
C1-008,"ClearChoice Chicago BBB rating B-",C1,Competitive,"B- rating and not BBB-accredited",BBB Chicago profile,S008,G06_BBB,HIGH,verified,"Direct from BBB website"
C1-009,"ClearChoice complaints: disorganized, scheduling issues",C2,Competitive,"incredibly disorganized and chaotic with repeated rescheduling",BBB complaint records,S008,G06_BBB,HIGH,verified,"Multiple patient complaints documented"
C1-010,"Google Ads CPL for implants: $60-150",C2,Marketing,"Google Ads cost per lead range of Â£45-65 (~$55-80 USD)",Marketing case studies,S009,G07_Marketing,MEDIUM,verified,"Varies by market competitiveness"
C1-011,"Dental marketing ROI 4-8x+ for optimized campaigns",C2,Marketing,"Case studies show 785% to 899% ROI",Delmain/Implant Engine,S010,G08_CaseStudy,HIGH,verified,"Based on actual campaign data"
C1-012,"Tinley Park median household income $103,800",C1,Demographics,"Median household income about $103,800 (2023 estimate)",Census/World Pop Review,S011,G09_Census,HIGH,verified,""
C1-013,"Orland Park median age ~45 years",C1,Demographics,"Median age around 45 years",Census estimates,S011,G09_Census,HIGH,verified,""
C1-014,"Global cosmetic dentistry market $26-45B in 2024",C2,Market,"Range $26.54B to $45.15B depending on scope",Multiple research firms,S012,G10_Cosmetic,MEDIUM,verified,"Wide range due to methodology differences"
C1-015,"~8% of Americans have veneers",C2,Market,"Around 8% of Americans have veneers",Impressions Dental stats,S013,G11_Veneer,MEDIUM,verified,""
C1-016,"Consultation-to-treatment conversion benchmark: 50-70%",C2,Funnel,"Many implant-focused practices target 50-70%+ acceptance",Industry benchmarks,S014,G12_Benchmark,MEDIUM,verified,"Top performers higher"
C1-017,"Financing can increase conversion 25-40%",C2,Funnel,"Financing programs critical for acceptance among middle-income patients",Industry analysis,S014,G12_Benchmark,MEDIUM,verified,"Supported by CareCredit data"
